08/07-14:15:37.189774 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.125,42375,239.255.255.250,1900,3C:97:0E:7B:06:DC,01:00:5E:7F:FF:FA,0xD6,,,,,,1,0,54768,200,204800,,,,
08/07-14:15:38.307679 ,1,1421,11,"SNMP AgentX/tcp request",TCP,192.168.0.104,59723,192.168.0.20,705,3C:97:0E:E8:07:57,00:A0:45:60:64:E5,0x3C,******S*,0x4F498B40,0x0,,0x400,57,0,34015,44,45056,,,,
08/07-14:15:39.424133 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.104,59723,192.168.0.20,161,3C:97:0E:E8:07:57,00:A0:45:60:64:E5,0x3C,******S*,0x4F498B40,0x0,,0x400,40,0,59233,44,45056,,,,
08/07-14:16:30.913538 ,1,528,5,"BAD-TRAFFIC loopback traffic",UDP,192.168.0.90,60426,127.0.0.1,53,00:0C:29:F7:18:69,00:A0:45:60:64:C7,0x4A,,,,,,64,0,3382,60,61440,,,,
08/07-14:16:30.915988 ,1,528,5,"BAD-TRAFFIC loopback traffic",UDP,192.168.0.90,60426,127.0.0.1,53,00:0C:29:F7:18:69,00:A0:45:60:64:C7,0x4A,,,,,,64,0,3383,60,61440,,,,
08/07-14:17:09.457487 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50468,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x890D7BD7,0x0,,0xFAF0,128,0,4079,52,53248,,,,
08/07-14:17:09.955646 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50468,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x890D7BD7,0x0,,0xFAF0,128,0,4120,52,53248,,,,
08/07-14:17:10.455684 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50468,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x3E,******S*,0x890D7BD7,0x0,,0xFAF0,128,0,4143,48,49152,,,,
08/07-14:17:10.508817 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50491,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x67FD3E13,0x0,,0xFAF0,128,0,4159,52,53248,,,,
08/07-14:17:11.005612 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50491,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x67FD3E13,0x0,,0xFAF0,128,0,4204,52,53248,,,,
08/07-14:17:11.505563 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.107,50491,192.168.0.1,161,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x3E,******S*,0x67FD3E13,0x0,,0xFAF0,128,0,4240,48,49152,,,,
08/07-14:17:34.186319 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.125,51975,239.255.255.250,1900,3C:97:0E:7B:06:DC,01:00:5E:7F:FF:FA,0xD6,,,,,,1,0,8907,200,204800,,,,
08/07-14:17:35.187724 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.125,51975,239.255.255.250,1900,3C:97:0E:7B:06:DC,01:00:5E:7F:FF:FA,0xD6,,,,,,1,0,9076,200,204800,,,,
08/07-14:17:36.188293 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.125,51975,239.255.255.250,1900,3C:97:0E:7B:06:DC,01:00:5E:7F:FF:FA,0xD6,,,,,,1,0,9107,200,204800,,,,
08/07-14:17:37.188644 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.125,51975,239.255.255.250,1900,3C:97:0E:7B:06:DC,01:00:5E:7F:FF:FA,0xD6,,,,,,1,0,9131,200,204800,,,,
08/07-14:17:53.878813 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,39789,192.168.0.90,161,00:0C:29:30:00:1B,00:0C:29:F7:18:69,0x4A,******S*,0x6C1D0164,0x0,,0x3908,64,0,31288,60,61440,,,,
08/07-14:17:53.881324 ,1,1421,11,"SNMP AgentX/tcp request",TCP,192.168.0.109,50549,192.168.0.90,705,00:0C:29:30:00:1B,00:0C:29:F7:18:69,0x4A,******S*,0x1A39A40F,0x0,,0x3908,64,0,57170,60,61440,,,,
08/07-14:18:02.185188 ,1,1421,11,"SNMP AgentX/tcp request",TCP,192.168.0.107,51209,192.168.0.1,705,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x40DB978D,0x0,,0xFAF0,128,0,6368,52,53248,,,,
08/07-14:18:02.692175 ,1,1421,11,"SNMP AgentX/tcp request",TCP,192.168.0.107,51209,192.168.0.1,705,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x42,******S*,0x40DB978D,0x0,,0xFAF0,128,0,6384,52,53248,,,,
08/07-14:18:03.184573 ,1,1421,11,"SNMP AgentX/tcp request",TCP,192.168.0.107,51209,192.168.0.1,705,D4:BE:D9:4B:12:58,00:A0:45:60:64:C7,0x3E,******S*,0x40DB978D,0x0,,0xFAF0,128,0,6413,48,49152,,,,
08/07-14:18:04.994346 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,6544,161,164864,,,,
08/07-14:18:07.994965 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,6738,161,164864,,,,
08/07-14:18:11.014716 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,6896,161,164864,,,,
08/07-14:18:14.055411 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,7000,161,164864,,,,
08/07-14:18:17.054620 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,7094,161,164864,,,,
08/07-14:18:20.054686 ,1,1917,6,"SCAN UPnP service discover attempt",UDP,192.168.0.107,63116,239.255.255.250,1900,D4:BE:D9:4B:12:58,01:00:5E:7F:FF:FA,0xAF,,,,,,1,0,7192,161,164864,,,,
08/07-14:18:39.755250 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,54434,192.168.0.21,161,00:0C:29:30:00:1B,00:A0:45:BE:4A:69,0x4A,******S*,0x7FB4ED64,0x0,,0x3908,64,0,17742,60,61440,,,,
08/07-14:18:39.760060 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,40731,192.168.0.32,161,00:0C:29:30:00:1B,00:A0:45:69:7E:BF,0x4A,******S*,0xC49337FB,0x0,,0x3908,64,0,40912,60,61440,,,,
08/07-14:18:39.761294 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,48295,192.168.0.31,161,00:0C:29:30:00:1B,00:A0:45:69:7E:7F,0x4A,******S*,0x49C079B2,0x0,,0x3908,64,0,53657,60,61440,,,,
08/07-14:18:39.761296 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,33519,192.168.0.105,161,00:0C:29:30:00:1B,00:A0:45:B2:D9:FD,0x4A,******S*,0x3B3CB3C9,0x0,,0x3908,64,0,7138,60,61440,,,,
08/07-14:18:39.761541 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,53519,192.168.0.51,161,00:0C:29:30:00:1B,00:A0:45:8F:66:D2,0x4A,******S*,0x6DD8B60,0x0,,0x3908,64,0,9035,60,61440,,,,
08/07-14:18:39.763283 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,56281,192.168.0.42,161,00:0C:29:30:00:1B,00:A0:45:38:A6:24,0x4A,******S*,0xF35AE094,0x0,,0x3908,64,0,18616,60,61440,,,,
08/07-14:18:39.763815 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,42831,192.168.0.99,161,00:0C:29:30:00:1B,00:0C:29:B7:08:E9,0x4A,******S*,0x7D50F29,0x0,,0x3908,64,0,42757,60,61440,,,,
08/07-14:18:39.765811 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,58645,192.168.0.104,161,00:0C:29:30:00:1B,3C:97:0E:E8:07:57,0x4A,******S*,0x20F2461B,0x0,,0x3908,64,0,60983,60,61440,,,,
08/07-14:18:39.766576 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,60642,192.168.0.125,161,00:0C:29:30:00:1B,3C:97:0E:7B:06:DC,0x4A,******S*,0x5954F505,0x0,,0x3908,64,0,23848,60,61440,,,,
08/07-14:18:39.766812 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,46265,192.168.0.90,161,00:0C:29:30:00:1B,00:0C:29:F7:18:69,0x4A,******S*,0xBB4AF2FC,0x0,,0x3908,64,0,23249,60,61440,,,,
08/07-14:18:39.767569 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,42724,192.168.0.106,161,00:0C:29:30:00:1B,00:0C:29:B7:08:E9,0x4A,******S*,0xF5A7CB19,0x0,,0x3908,64,0,25396,60,61440,,,,
08/07-14:18:39.772071 ,1,1418,11,"SNMP request tcp",TCP,192.168.0.109,46459,192.168.0.100,161,00:0C:29:30:00:1B,00:0C:29:08:3D:54,0x4A,******S*,0xD350BED1,0x0,,0x3908,64,0,5887,60,61440,,,,
